Date, Price, Ret, RV
10/15/09,-0.016200586,7.338E-05,1157.2
10/16/09,8.64118E-05,9.48114E-05,1157.3
10/19/09,-0.00580616,2.38421E-05,1150.6
10/20/09,0.012695019,4.23525E-05,1165.3
10/21/09,-8.58185E-05,1.90558E-05,1165.2
10/22/09,-0.013130804,3.36049E-05,1150
10/23/09,0.016044509,2.91581E-05,1168.6
10/26/09,-0.000684814,4.41345E-05,1167.8
10/27/09,-0.015359694,6.73366E-05,1150
10/29/09,-0.022245609,0.000137511,1124.7
10/30/09,0.018237588,9.48319E-05,1145.4
11/2/09,-0.015130479,2.6921E-05,1128.2
11/3/09,-0.012217568,2.47279E-05,1114.5
11/4/09,0.01008802,2.30952E-05,1125.8
11/5/09,0.013936893,4.15616E-05,1141.6
11/6/09,-0.003949626,8.15147E-05,1137.1
11/9/09,0.015272802,2.21364E-05,1154.6
11/10/09,-0.000953165,2.26558E-05,1153.5
11/11/09,0.00302965,1.78452E-05,1157
11/12/09,0.007491317,2.42545E-05,1165.7
11/13/09,-0.012343172,3.41724E-05,1151.4
11/16/09,0.001822205,2.19668E-05,1153.5
11/18/09,-0.004779501,4.38572E-05,1148
11/19/09,0.001566716,2.40253E-05,1149.8
11/20/09,-0.002961417,3.49392E-05,1146.4
11/23/09,0.004699339,9.18E-06,1151.8
11/24/09,-0.009420865,4.75713E-05,1141
11/25/09,-0.008095785,4.26616E-05,1131.8
11/26/09,-0.019359184,3.89107E-05,1110.1
11/27/09,0.001260353,4.66143E-05,1111.5
11/30/09,0.002515951,5.45027E-05,1114.3
12/1/09,0.004119655,2.05917E-05,1118.9
12/2/09,-0.000894135,3.0933E-05,1117.9
12/3/09,0.011561851,2.07093E-05,1130.9
12/4/09,0.010730094,5.80172E-05,1143.1
12/7/09,-0.004471534,1.10216E-05,1138
12/8/09,-0.014159529,4.64548E-05,1122
12/9/09,-0.014543752,7.19008E-05,1105.8
12/10/09,-0.001357405,2.93659E-05,1104.3
12/11/09,0.004337226,3.06872E-05,1109.1
12/14/09,-0.002708561,1.81242E-05,1106.1
12/15/09,-0.008625831,4.38251E-05,1096.6
12/16/09,0.019147984,3.71719E-05,1117.8
12/17/09,-0.003674662,1.96387E-05,1113.7
12/18/09,-0.000718584,4.94137E-05,1112.9
12/21/09,-0.000269602,1.60782E-05,1112.6
12/22/09,-0.002339603,1.51229E-05,1110
12/23/09,-9.00941E-05,6.63E-06,1109.9
12/28/09,0.000990589,4.56E-06,1111
12/29/09,0.007353634,3.19096E-05,1119.2
12/30/09,-0.000893895,1.9725E-05,1118.2
1/4/10,0.013413481,4.7038E-05,1133.3
1/5/10,0.017406956,5.76626E-05,1153.2
1/6/10,0.000173415,1.66828E-05,1153.4
1/7/10,0.000433407,1.4906E-05,1153.9
1/8/10,0.00406487,3.35279E-05,1158.6
1/11/10,0.018556264,2.31917E-05,1180.3
1/12/10,-0.004755848,3.5621E-05,1174.7
1/13/10,0.003653826,2.74183E-05,1179
1/14/10,0.0154024,3.3504E-05,1197.3
1/15/10,-0.006620043,3.15458E-05,1189.4
1/18/10,0.012615565,1.27617E-05,1204.5
1/19/10,0.001824818,4.03685E-05,1206.7
1/20/10,0.00841728,3.21584E-05,1216.9
1/21/10,-0.002880305,3.85989E-05,1213.4
1/22/10,-0.024021172,3.15853E-05,1184.6
1/25/10,0.006982152,3.89868E-05,1192.9
